time_ms,pointer,middle,ring,ecg
37883,702,1195,2806,4095
37903,68,694,2795,4095
37923,0,377,2968,1799
37943,40,348,2907,1373
37963,500,557,3179,1965
37983,975,882,2811,4095
38003,1363,1195,2827,4095
38023,1638,1469,2933,1167
38043,1789,1685,2923,0
38063,1863,1816,3237,679
38083,1870,1862,2815,4095
38103,1832,1861,2787,4095
38123,1785,1853,2936,1334
38143,1782,1837,2940,0
38163,1751,1812,3241,955
38183,1715,1757,2813,4095
38203,1726,1727,2779,4095
38223,1820,1768,2919,1871
38243,2089,1950,2969,0
38263,2599,2299,3353,611
38283,3303,2795,2827,4095
38303,4095,3375,2764,4095
38323,4095,3865,2871,148
38343,4095,3990,2935,0
38363,3805,3675,3404,294
38383,2623,3157,2846,3979
38403,1432,2648,2791,4095
38423,536,2219,2843,1289
38443,255,1947,2877,0
38463,494,1821,3294,871
38483,907,1752,2811,4095
38503,1336,1737,2763,4095
38523,1673,1764,2869,1606
38543,1885,1827,2920,0
38563,2027,1887,3325,781
38583,2163,1949,2825,4095
38603,2292,2003,2749,4095
38623,2343,1948,2877,1452
38643,2057,1753,2915,3
38663,1545,1484,3285,951
38683,1049,1204,2809,4095
38703,795,973,2749,4095
38723,894,849,2905,1880
38743,1175,873,2963,0
38763,1445,1019,3315,1496
38783,1625,1209,2811,4095
38803,1675,1339,2751,4095
38823,1623,1387,2917,1287
38843,1467,1362,2969,0
40446,1263,981,3291,1263
40467,1533,1231,2917,4095
40487,1707,1471,2838,3481
40507,1879,1799,2925,0
40527,2023,2043,2953,0
40547,2100,2229,3143,1910
40567,2089,2271,2841,4095
40587,2005,2212,2887,3257
40607,1901,2073,2915,191
40627,1659,1768,2938,55
40647,1295,1419,3060,2749
40667,1048,1141,2861,4095
